"filename", "language", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "CSS", "comment", "blank", "total"
"/Users/amilsilahic/projects/nextjs-canvas-classroom/lib/supabaseClient.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/amilsilahic/projects/nextjs-canvas-classroom/next.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 2, 7
"/Users/amilsilahic/projects/nextjs-canvas-classroom/package-lock.json", "JSON", 0, 0, 14706, 0, 0, 0, 0, 1, 14707
"/Users/amilsilahic/projects/nextjs-canvas-classroom/package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 1, 41
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/404.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/_app.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 13, 74
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/_document.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/api/add-module.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 12, 44
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/api/auth/[...nextauth].js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 9, 46
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/api/auth/signup.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 13, 50
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/api/create-course.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 9, 35
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/courses/[...courseName].js", "JavaScript", 0, 48, 0, 0, 0, 0, 4, 8, 60
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/courses/[courseName].js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 14, 71
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/courses/index.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 12, 65
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/dashboard/index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 11, 55
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/inbox/index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 6, 35
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/login/index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 4, 33
"/Users/amilsilahic/projects/nextjs-canvas-classroom/pages/signup/index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"/Users/amilsilahic/projects/nextjs-canvas-classroom/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/amilsilahic/projects/nextjs-canvas-classroom/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/amilsilahic/projects/nextjs-canvas-classroom/public/thirteen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/amilsilahic/projects/nextjs-canvas-classroom/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/amilsilahic/projects/nextjs-canvas-classroom/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 7, 37
"/Users/amilsilahic/projects/nextjs-canvas-classroom/tailwind.config.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 1, 25
"/Users/amilsilahic/projects/nextjs-canvas-classroom/todo.md", "Markdown", 0, 0, 0, 0, 16, 0, 44, 29, 89
"Total", "-", 8, 2108, 14746, 3, 38, 30, 65, 413, 17411
